ディノスパーク伊達店,北海道伊達市末永町66番地1号
ＢＩＧＢＡＮＧ函館,北海道函館市梁川町９−３テキサスビル３Ｆ
ラウンドワン函館店,北海道函館市西桔梗町８４８−１１
ＢＩＧＢＡＮＧ北見店,北海道北見市中央三輪7丁目４４６−１
ディノスパーク北見店,北海道北見市西三輪5丁目1番地16号
タイトーステーション 千歳店,北海道千歳市北栄２−１２−５
イオン千歳　キッズパーク,北海道千歳市栄町６−６１
アピナ新千歳空港店,北海道千歳市美々1292番地33新千歳空港国内線旅客ﾀｰﾐﾅﾙﾋﾞﾙ4F
アミューズメントスペース遊ランド士別,北海道士別市大通東８
ＢＩＧＢＡＮＧ室蘭,北海道室蘭市中島本町２−８−１
ディノスパーク室蘭,北海道室蘭市東町4丁目31番2号 1階
遊ランド富良野店,北海道富良野市弥生町５番５０号
ｎａｍｃｏウイングベイ小樽店,北海道小樽市築港１１−５ウィングベイ小樽５番街３階
イオン岩見沢　キッズ・パーク,北海道岩見沢市大和4条8
ディノスパーク帯広,北海道帯広市白樺16条西2丁目 ﾄﾞﾘｰﾑﾀｳﾝ白樺 1階
ディノスパーク帯広稲田,北海道帯広市稲田町南八線西12番地1 ｽｽﾞﾗﾝﾎﾞｳﾙ 1、2階
キャッツアイ恵庭店,北海道恵庭市住吉町２丁目９−１
キャッツアイ静内店,北海道日高郡新ひだか町静内木場町２丁目１−４１
ディノスパーク旭川,北海道旭川市大雪通5丁目496番地5号 1階
ソユーゲームフィールド旭川駅前店,北海道旭川市宮下通７−２−５ｲｵﾝﾓｰﾙ旭川駅前４F
アミューズメントスペース遊ランド春光店,北海道旭川市春光1条7丁目2-25
ラウンドワン旭川店,北海道旭川市永山三条１−４−７
SOYUGameField旭川西店,北海道旭川市緑町23-2161-3イオンモール旭川西3F
遊ランド西御料店,北海道旭川市西御料５条２丁目
namco札幌エスタ店,北海道札幌市中央区北5条西2-1-1札幌エスタ9F
ラウンドワン札幌すすきの店,北海道札幌市中央区南五条西3-6-1
タイトーステーション 札幌狸小路２丁目店,北海道札幌市中央区南３条西２丁目−１４
マキシム・ヒーロー,北海道札幌市北区北六条西6丁目1-2
キャッツアイ新川店,北海道札幌市北区新川二条7丁目1-7
キャッツアイ篠路店,北海道札幌市北区篠路1条4丁目6-30
ゲームランド新さっぽろ,北海道札幌市厚別区中央２条５丁目７−３ カテプリさっぽろ３階
キャッツアイ新札幌店,北海道札幌市厚別区厚別東五条1-1-10
ディノスパーク札幌手稲,北海道札幌市手稲区前田1条11丁目 西友手稲店 3階
キャッツアイ手稲店,北海道札幌市手稲区前田３条１０丁目２−２１
ラウンドワン札幌北２１条店,北海道札幌市東区北二十一条東１−１−２１
アドアーズ札幌北４２条,北海道札幌市東区北４２条東７−１−１　嶋ビル２階
ソユーゲームフィールド苗穂店,北海道札幌市東区東苗穂2条3-1-1　イオンモール札幌苗穂２Ｆ
キャッツアイ東苗穂店,北海道札幌市東区東苗穂6条2丁目1-25
キャッツアイ清田店,北海道札幌市清田区清田１条１−２０−１
ベガジオ美しが丘店,北海道札幌市清田区美しが丘１条　７−６−１０
ラウンドワン札幌白石本通店,北海道札幌市白石区本通１６丁目北１−５０
キャッツアイ栄通店,北海道札幌市白石区栄通19丁目11-43
ソユーゲームフィールド発寒,北海道札幌市西区発寒8条12丁目1-1イオン札幌発寒SC3F
プラボ札幌西町店（ワンダーシティ札幌）,北海道札幌市西区西町北13丁目1番(旧国道五号線沿い)
キャッツアイミュンヘン大橋店,北海道札幌市豊平区平岸１条２３丁目８０１−１
イオン根室アミューズメントランド,北海道根室市常磐町3-9
モーリーファンタジー中標津,北海道標津郡中標津町南町３番地１０　東武サウスヒルズ
ＰＡＬＯ江別,北海道江別市幸町35　3F
ディノスパーク音更,北海道河東郡音更町木野大通西15丁目2番地12ﾋﾞｯｸﾞﾏｰﾄB棟
ＢＩＧＢＡＮＧ滝川,北海道滝川市東町１−８−１４
ＰＡＬＯ滝川,北海道滝川市東町２丁目２９−１　イオン滝川１Ｆ
ＰＡＬＯ網走,北海道網走市駒場北５丁目８３番地
ファンタジープラザ苫小牧,北海道苫小牧市木場町1-6-1MEGAドンキホーテ苫小牧2F
ディノスパーク苫小牧,北海道苫小牧市柳町3丁目1番20号 ｲｵﾝﾓｰﾙ苫小牧 2階
ＰＡＬＯ苫小牧,北海道苫小牧市糸井１３５−１トライアルG棟トライアル苫小牧店
タイトーイオンモール釧路昭和店,北海道釧路市昭和中央４−１８−１　イオンモール釧路昭和２Ｆ
ＢＩＧＢＡＮＧ釧路,北海道釧路郡釧路町木場２−１
ＰＡＬＯ釧路,北海道釧路郡釧路町桂木１−１−７　イオン釧路店２F
ゲームランドつがる柏店,青森県つがる市柏稲盛幾世41イオンモールつがる柏2F
ＰＡＬＯむつ,青森県むつ市中央２−７−８　１Ｆ
ユーズランド下田店,青森県上北郡おいらせ町中野平４０−１イオンモール下田１Ｆ
ｎａｍｃｏエルムの街ショッピングセンター,青森県五所川原市大字唐笠柳字藤巻517-1ｴﾙﾑの街SC　本棟2階
ＰＡＬＯ五所川原,青森県五所川原市大字唐笠柳字藤巻６４１番１　アクロスプラザ
タイトーＦステーション八戸店,青森県八戸市三日町２７
